Date,Country,Engaged sessions,WC (web conversions),WQC (web qualified conversions)
20171210,Russia,9,3,0
20171211,Curaçao,9,4,0
20171211,Guatemala,9,0,0
20171211,Martinique,9,2,0
20171212,United Arab Emirates,9,1,0
20171215,Belgium,9,1,0
20171215,Switzerland,9,2,0
20171215,Dominican Republic,9,1,0
20171215,Uruguay,9,2,1
20171116,Denmark,8,2,0
20171116,Philippines,8,1,0
20171116,Slovenia,8,2,0
20171117,Belgium,8,0,0
20171117,Martinique,8,1,0
20171117,Malaysia,8,1,0
20171117,Poland,8,1,0
20171118,Bahrain,8,1,0
20171118,Hungary,8,2,0
20171118,Thailand,8,0,0
